サンプリング周波数,1000




Fx,Fy,Fz,Mx,My,Mz,同期信号,ExtIn1,ExtIn2
1.525926E+0,-6.103702E-1,0.000000E+0,1.205481E+0,1.663259E+0,0.000000E+0,1,1,1
1.373333E+0,-7.629628E-1,-6.103702E-1,1.236000E+0,1.739555E+0,-7.629627E-2,1,1,1
1.678518E+0,-6.103702E-1,-4.577776E-1,1.220740E+0,1.632740E+0,-1.525925E-2,1,1,1
2.136296E+0,-1.220740E+0,-6.103702E-1,1.205481E+0,1.632740E+0,0.000000E+0,1,1,1
1.831111E+0,-4.577776E-1,0.000000E+0,1.251259E+0,1.739555E+0,-1.525925E-2,1,1,1
1.983703E+0,-3.051851E-1,-3.051851E-1,1.266518E+0,1.678518E+0,4.577776E-2,1,1,1
1.831111E+0,-6.103702E-1,-1.525925E-1,1.205481E+0,1.739555E+0,-4.577776E-2,1,1,1
1.983703E+0,-9.155553E-1,-6.103702E-1,1.205481E+0,1.632740E+0,-1.525925E-2,1,1,1
1.983703E+0,-7.629628E-1,-3.051851E-1,1.190222E+0,1.739555E+0,-6.103702E-2,1,1,1
1.373333E+0,-9.155553E-1,-7.629628E-1,1.220740E+0,1.785333E+0,-3.051851E-2,1,1,1
1.831111E+0,-6.103702E-1,1.525925E-1,1.342814E+0,1.709037E+0,-1.068148E-1,1,1,1
1.983703E+0,-4.577776E-1,0.000000E+0,1.281777E+0,1.709037E+0,0.000000E+0,1,1,1
1.831111E+0,-4.577776E-1,-3.051851E-1,1.159703E+0,1.678518E+0,0.000000E+0,1,1,1
1.678518E+0,-7.629628E-1,-7.629628E-1,1.159703E+0,1.800592E+0,1.525925E-2,1,1,1
1.525926E+0,-7.629628E-1,-3.051851E-1,1.190222E+0,1.770074E+0,-3.051851E-2,1,1,1
1.831111E+0,-6.103702E-1,0.000000E+0,1.281777E+0,1.785333E+0,-7.629627E-2,1,1,1
1.983703E+0,-9.155553E-1,0.000000E+0,1.113926E+0,1.739555E+0,-1.525925E-2,1,1,1
1.983703E+0,-7.629628E-1,-6.103702E-1,1.174963E+0,1.754814E+0,-1.525925E-2,1,1,1
1.983703E+0,-4.577776E-1,-6.103702E-1,1.236000E+0,1.815851E+0,-4.577776E-2,1,1,1
1.373333E+0,-1.220740E+0,-6.103702E-1,1.174963E+0,1.693777E+0,0.000000E+0,1,1,1
1.373333E+0,-9.155553E-1,-1.525925E-1,1.129185E+0,1.846370E+0,0.000000E+0,1,1,1
1.525926E+0,-4.577776E-1,-6.103702E-1,1.251259E+0,1.754814E+0,-1.525925E-2,1,1,1
1.525926E+0,-6.103702E-1,-1.525925E-1,1.297037E+0,1.785333E+0,-1.525925E-2,1,1,1
